 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2         2,70446 0:00:03  0,0001 0,0155               0,0001
      4         1,49373 0:00:02  0,0001 0,0098               0,0001
      6         1,03762 0:00:01  0,0001 0,0076               0,0001
      8         0,81742 0:00:01  0,0000 0,0054               0,0000
     10         0,72585 0:00:01  0,0000 0,0000               0,0000
     12         0,65827 0:00:01  0,0000 0,0000               0,0000
     14         0,53195 0:00:01  0,0000 0,0000               0,0000
     16         0,49291 0:00:01  0,0000 0,0000               0,0000
     18         0,47632 0:00:00  0,0000 0,0000               0,0000
     20         0,53519 0:00:01  0,0000 0,0000               0,0000
     22         0,54399 0:00:01  0,0000 0,0000               0,0000
     24         0,66237 0:00:01  0,0000 0,0000               0,0000
     26         0,62294 0:00:01  0,0000 0,0000               0,0000
     28         0,59037 0:00:01  0,0000 0,0000               0,0000
     30         0,56504 0:00:01  0,0000 0,0000               0,0000
     32         0,55538 0:00:01  0,0000 0,0000               0,0000
     34         0,53134 0:00:01  0,0000 0,0000               0,0000
     36         0,51091 0:00:01  0,0000 0,0000               0,0000
     38         0,48966 0:00:01  0,0000 0,0000               0,0000
     40         0,48718 0:00:00  0,0000 0,0000               0,0000
     42         0,49159 0:00:01  0,0000 0,0000               0,0000
     44         0,50090 0:00:01  0,0000 0,0000               0,0000
     46         0,48279 0:00:01  0,0000 0,0000               0,0000
     48         0,54560 0:00:01  0,0000 0,0000               0,0000
     50         0,54161 0:00:01  0,0000 0,0000               0,0000
     52         0,48486 0:00:01  0,0000 0,0000               0,0000
     54         0,52820 0:00:01  0,0000 0,0000               0,0000
     56         0,50467 0:00:01  0,0000 0,0000               0,0000
     58         0,40959 0:00:00  0,0000 0,0000               0,0000
     60         0,38594 0:00:00  0,0000 0,0000               0,0000
     62         0,38077 0:00:00  0,0000 0,0000               0,0000
     64         0,39200 0:00:00  0,0000 0,0000               0,0000
     66         0,36087 0:00:00  0,0000 0,0000               0,0000
     68         0,46533 0:00:00  0,0000 0,0115               0,0001
     70         0,37199 0:00:00  0,0000 0,0000               0,0000
     72         0,47162 0:00:00  0,0000 0,0000               0,0000
     74         0,42587 0:00:00  0,0000 0,0000               0,0000
     76         0,33979 0:00:00  0,0000 0,0000               0,0000
     78         0,39870 0:00:00  0,0000 0,0000               0,0000
     80         0,38823 0:00:00  0,0000 0,0000               0,0000
     82         0,41861 0:00:00  0,0000 0,0000               0,0000
     84         0,35421 0:00:00  0,0000 0,0000               0,0000
     86         0,37649 0:00:00  0,0000 0,0000               0,0000
     88         0,34885 0:00:00  0,0000 0,0000               0,0000
